Name,FIDE ID,Title,Rating (Standard),Rating (Rapid),Rating (Blitz),Federation,Birth Year,Age,Last Rated Game,Games (12mo),Games (24mo),Years Since Last Game,Status,Plays Opens,Travel Range,Americas Experience,Chess960,Chess960 Notes,Crypto Connection,Crypto Notes,Content Creator,Social Handles,Schedule Conflicts,AI Summary,My Odds,My Notes
"Carlsen, Magnus",1503014,GM,2840,,,NOR,1990,36,,,,,active,regularly,global,yes,yes,Fischer Random match against Hikaru Nakamura; Chess960 tournaments; 2025 Freestyle Chess Grand Slam Tour,yes,"Won world's first bitcoin chess tournament - FTX Crypto Cup 2021, defeated Wesley So in finals, prize fund was $210,000 plus additional $100,000 tied to Bitcoin price, took home 0.6 Bitcoin and $60,000 first prize",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the search results, Magnus Carlsen remains active in competitive chess as of 2026 and has a global travel pattern, but primarily participates in high-profile invitational events like World Championships, Freestyle Chess tournaments, and specialty events rather than open tournaments. While he has demonstrated willingness to travel internationally (including to locations like Qatar), there is no evidence in the search results of him regularly participating in open tournaments, particularly smaller regional events. Given his focus on elite-level competitions and his status as a top-rated player (2840), attendance at an open tournament in Honduras would be highly unlikely unless it offered significant prize money or had special circumstances not typical of standard open events.",,
"Nakamura, Hikaru",2016192,GM,2810,,,USA,1987,39,,,,,active,regularly,global,yes,yes,2022 Fischer Random World Chess Championship; Fischer Random Rapid game against Magnus Carlsen in 2018,yes,Won 1 BTC in a chess tournament and has discussed Bitcoin and stocks publicly,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, Hikaru Nakamura actively participates in open tournaments, having won multiple opens in 2025 including the Comet Open ($45,000 prize) and Maritime Open, demonstrating he regularly competes in such events despite his elite status. He travels globally for competitions and remains highly active as of 2026, suggesting he would be willing to consider international open tournaments. However, no specific information was found about his 2026 schedule or any previous activity in Central America, making it impossible to assess the likelihood of him specifically attending a tournament in Honduras during February/March 2026.",,
"Caruana, Fabiano",2020009,GM,2795,,,USA,1992,34,,,,,active,regularly,global,yes,yes,2022 Chess 9LX (Fischer Random) championship; Freestyle Chess vs Gukesh D,yes,Participated in FTX Crypto Cup chess tournament with cryptocurrency prizes and involved with Coinbase promotional activities,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Fabiano Caruana is an active elite grandmaster (world No. 3) who regularly competes in high-profile tournaments like the Grand Chess Tour and World Championships, with recent activity including wins in 2025 and global travel to locations like Qatar. However, as a top-tier player who typically participates in prestigious invitation-only events rather than open tournaments, and with no specific 2026 schedule information available, his attendance at an open tournament in Honduras would be unlikely unless it offered significant prize money or had special circumstances. Elite grandmasters of his caliber generally focus on major international championships and tour events rather than regional open tournaments.",,
"Keymer, Vincent",12940690,GM,2776,,,GER,2004,22,,,,,active,unknown,global,unknown,yes,Weissenhaus Freestyle Chess Grand Slam 2025,no,He has no publicly known involvement with Bitcoin or cryptocurrency. His main achievements are in chess tournaments.,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Vincent Keymer is an active top-level grandmaster (rated 2776) who primarily competes in elite invitational events like Grand Masters tournaments rather than open tournaments. While he has demonstrated global travel patterns (recently playing in Chennai, India and Weissenhaus), his focus appears to be on high-profile invitational events, making attendance at an open tournament in Honduras unlikely unless it offered significant prize money or rating opportunities.",,
Erigaisi Arjun,35009192,GM,2775,,,IND,2003,23,,,,,active,regularly,global,unknown,yes,Chess960 match against Magnus Carlsen,yes,Has used cryptocurrency for donations in his chess streams,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Erigaisi Arjun is an active grandmaster (rated 2775) who regularly participates in international tournaments, having won the 2024 WR Chess Masters Cup in London and medaled at the 2025 World Blitz Championships, indicating he travels globally for chess events. However, the available information suggests he primarily competes in high-level FIDE championships and elite tournaments rather than open tournaments, and there is no specific information about his 2026 schedule or previous participation in Central American events. While his active tournament schedule and international travel pattern suggest he could potentially attend, his apparent focus on elite-level events makes attendance at an open tournament in Honduras less likely without additional incentives or circumstances.",,
"Giri, Anish",24116068,GM,2760,,,NED,1994,32,,,,,active,regularly,global,unknown,yes,2018 Champions Showdown; matches against Vidit Gujrathi,yes,"Participated in FTX Crypto Cup and finished second, discussed Bitcoin as prize money in sports",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Anish Giri is an active top-level grandmaster (rated 2760, ranked 12th globally) who regularly competes in major international tournaments, including recent wins at the 2025 Sharjah Masters and FIDE Grand Swiss. However, his tournament pattern appears focused on elite invitation-only events rather than open tournaments, and there's no evidence of him participating in open competitions or traveling to Central America. Given his high rating and typical participation in prestigious closed tournaments, attendance at an open tournament in Honduras would be highly unlikely unless there were exceptional circumstances or significant appearance fees involved.",,
"Firouzja, Alireza",12573981,GM,2759,,,FRA,2003,23,,,,,active,regularly,global,yes,yes,2024 Freestyle Chess event,yes,"Participated in the FTX Crypto Cup competing against Magnus Carlsen, became an ambassador for NFTs in 2022, event offered $100,000 Bitcoin bonus",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Firouzja is highly active in international chess tournaments, regularly competing in major events across different continents including the Americas (Saint Louis events), and maintains a busy schedule with recent victories in 2024-2025. However, his tournament pattern appears focused on elite invitational events like the Grand Chess Tour, Sinquefield Cup, and major rapid/blitz championships rather than open tournaments. While no specific 2026 schedule conflicts were found, his typical participation in high-level invitational events makes attendance at an open tournament in Honduras unlikely, despite his demonstrated willingness to travel globally for chess competitions.",,
Praggnanandhaa R,25059530,GM,2758,,,IND,2005,21,,,,,active,regularly,global,unknown,unknown,,yes,Defeated world champion Magnus Carlsen in the FTX Crypto Cup,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,FIDE Candidates 2026,"Based on the research, Praggnanandhaa R is an active grandmaster who regularly participates in major international tournaments and has qualified for the FIDE Candidates 2026, which typically occurs around March-April. Given his focus on high-level events like Tata Steel and SuperBet Classic rather than open tournaments, and the likely scheduling conflict with Candidates preparation or the event itself, his attendance at an open tournament in Honduras during Feb/March 2026 would be highly unlikely. His tournament pattern suggests he prioritizes elite invitational events over open competitions.",,
Gukesh D,46616543,GM,2754,,,IND,2006,20,,,,,active,unknown,unknown,unknown,yes,Weissenhaus Freestyle GOAT Challenge with Magnus Carlsen,yes,"Known for his interest in cryptocurrency, particularly Bitcoin, and is a notable figure in both chess and crypto circles",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Gukesh D remains active in competitive chess as of January 2026, but his future tournament schedule is uncertain following challenges in 2025 and his coach's plans for career revival. The search results do not provide information about whether he regularly participates in open tournaments or his typical travel patterns to determine his likelihood of attending regional events. Given his status as the youngest world champion and high FIDE rating (2754), attendance at a Honduras open tournament would be unusual without additional context about appearance fees or special circumstances.",,
"Wei, Yi",8603405,GM,2754,,,CHN,1999,27,,,,,unknown,regularly,global,unknown,yes,FIDE World Cup; Fischer Random World Championship,no,Bitcoin and cryptocurrency are not directly related to Wei Yi,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Wei Yi is an active top-level grandmaster (rated 2754, ranked 8th globally) who regularly competes in prestigious invitational tournaments like Tata Steel Masters and Norway Chess, rather than open tournaments. While he travels internationally for high-profile events, there is no indication he participates in open tournaments, and his status as an elite player suggests he would likely only attend invite-only events rather than an open tournament in Honduras.",,
